1000 -3.00000
  24.94696 18.20726  9.80481 1
   0.83992  5.55561 16.45015 1
   8.02352 23.46331 19.31563 1
  31.68795 27.18698 28.21469 1
  23.16206 31.87267  8.28112 1
   7.51068 21.57481 22.46305 1
  20.85086  6.16178 12.87046 1
  31.47311 23.11646  8.10871 1
   9.67634 15.83873 15.40066 1
   1.88981  8.97647 29.87105 1
   9.44276 25.95826 14.74032 1
   8.97530 20.48517 31.03375 1
  15.71727 26.16188 16.53600 1
  19.03343  8.69666 31.73929 1
  26.03315  1.26050 26.26472 1
  19.85535 31.46227 26.36374 1
  15.19637 15.85891  9.56908 1
  31.86017  8.73004 26.41173 1
  27.52183  9.12078 11.48441 1
  23.81836  9.69666 12.19012 1
  20.07627 22.54170  7.66979 1
   7.41477 22.32156  6.34136 1
   9.31304 12.07354 12.76796 1
   0.30069  1.27339 15.61938 1
  13.67611  5.33505 11.38265 1
  11.07176  4.84987  7.36502 1
  19.98245  0.89774  0.56544 1
  11.27857 27.00205 31.69826 1
  27.51277  8.10334 20.98397 1
  10.70435 31.68744 26.18940 1
  24.47001 11.35298  7.78674 1
  31.75294 16.51919 28.49069 1
  16.01173 24.80737 31.84577 1
  18.66447 19.89270  9.93522 1
  28.01208 19.18307 30.72805 1
  28.72086 16.38055 13.59787 1
   3.54966 26.97799 14.70566 1
  28.76406  3.41317  0.84231 1
   5.69925 14.83956 16.94585 1
  21.57557 30.76629 29.15632 1
   5.09206 21.56978  9.27159 1
   1.43300 25.91059  3.95699 1
   7.89644 25.80430 11.21375 1
   7.67089 12.74600  2.77842 1
  23.46604 10.27905 20.36508 1
  26.19555 13.30157 28.06587 1
   0.15793 15.90542  6.94398 1
  16.72252 24.32700 27.84959 1
  21.15519  7.25479  3.77424 1
  13.08383  2.82428 23.69128 1
   8.97235 28.93307 26.87111 1
   9.39373 16.45957 24.01978 1
   9.45573 29.33780  5.44037 1
  25.87195 29.52081  5.62612 1
  23.43508 22.99940 15.23856 1
  13.23876 27.73338  8.18514 1
   1.01632 24.25239 24.98296 1
  19.49375 26.51109 29.20650 1
  30.37011 16.64276 18.16967 1
   8.28953 23.27548 27.24998 1
   0.21399 21.30184 12.29729 1
   1.09996 26.39126 19.87159 1
  14.43772  5.43519 27.86849 1
   2.56722  2.52315 26.67967 1
   7.05916 18.24382  2.02554 1
  29.29465 24.71358 11.57262 1
  30.02367 24.21615 19.78737 1
  20.40006 21.82736  2.59646 1
  21.12096 28.40565 22.20173 1
  22.45945 25.66912 10.21563 1
  31.42983 20.96533 17.77098 1
  17.99767 31.97500 11.82016 1
   5.00813 13.52868 22.17816 1
   9.86883 15.69571  0.36716 1
  22.04970 21.59881 24.27284 1
   7.10253 10.66230 27.60690 1
  31.66280  1.22900  6.07370 1
   9.85764 20.20735 25.41750 1
  31.89596  5.11616 30.13780 1
   3.79234  8.89728  4.44111 1
  23.93327 27.70323 16.08050 1
  22.68700  2.36436 18.21853 1
  11.15382 26.43169 19.86500 1
  11.68620 11.87128  9.72849 1
